school_code,school_name,postcode,town_suburb,operational_directorate,principal_network,class_type
8259,Callaghan College Wallsend Campus,2287,Wallsend ,Tamworth,Callaghan,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8271,Lucas Heights Community School,2234,Barden Ridge ,Ultimo,Woronora River,Supporting students with physical disability (P)
8271,Lucas Heights Community School,2234,Barden Ridge ,Ultimo,Woronora River,Supporting students with autism (Au)
8271,Lucas Heights Community School,2234,Barden Ridge ,Ultimo,Woronora River,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8278,Wadalba Community School,2259,Wadalba ,Macquarie Park,Tuggerah Lakes,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8278,Wadalba Community School,2259,Wadalba ,Macquarie Park,Tuggerah Lakes,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8282,Banora Point High School,2486,Banora Point ,Tamworth,Tweed Coast,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8282,Banora Point High School,2486,Banora Point ,Tamworth,Tweed Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8289,Great Lakes College Tuncurry Campus,2428,Tuncurry,Tamworth,Great Lakes,Supporting students with mild intellectual disability (IM)
8289,Great Lakes College Tuncurry Campus,2428,Tuncurry,Tamworth,Great Lakes,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8291,Rouse Hill High School,2155,Rouse Hill,Macquarie Park,The Ponds,Supporting students with autism (Au)
8343,Tumut High School,2720,Tumut,Wagga Wagga,Gundagai,Supporting students with mental health issues (ED Emotional Disturbance)
8343,Tumut High School,2720,Tumut,Wagga Wagga,Gundagai,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8346,Condobolin High School,2877,Condobolin,Wagga Wagga,West Wyalong,Supporting students with mild intellectual disability (IM)
8346,Condobolin High School,2877,Condobolin,Wagga Wagga,West Wyalong,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8355,Bourke High School,2840,Bourke ,Wagga Wagga,Mitchell,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8355,Bourke High School,2840,Bourke ,Wagga Wagga,Mitchell,Supporting students with mental health issues (ED Emotional Disturbance)
8360,Finley High School,2713,Finley ,Wagga Wagga,Deniliquin,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8360,Finley High School,2713,Finley ,Wagga Wagga,Deniliquin,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8373,Five Islands Secondary College,2505,Port Kembla,Wagga Wagga,Lake Illawarra North,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8373,Five Islands Secondary College,2505,Port Kembla,Wagga Wagga,Lake Illawarra North,Supporting students with behavioural issues (BD)
8373,Five Islands Secondary College,2505,Port Kembla,Wagga Wagga,Lake Illawarra North,Supporting students with mental health issues (ED Emotional Disturbance)
8381,Bankstown Senior College,2200,Bankstown ,Ultimo,Bankstown,Supporting students with behavioural issues (BD)
8385,Greystanes High School,2145,Greystanes ,Macquarie Park,Girraween,Supporting students with mild intellectual disability (IM)
8385,Greystanes High School,2145,Greystanes ,Macquarie Park,Girraween,Supporting students with moderate intellectual disability (IO)
8391,Wingham High School,2429,Wingham ,Tamworth,Taree,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8398,Condell Park High School,2200,Condell Park,Ultimo,Bankstown,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8398,Condell Park High School,2200,Condell Park,Ultimo,Bankstown,Supporting students with autism (Au)
8406,South Grafton High School,2460,South Grafton ,Tamworth,Grafton,Supporting students with mental health issues (ED Emotional Disturbance)
8406,South Grafton High School,2460,South Grafton ,Tamworth,Grafton,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8409,Scone High School,2337,Scone ,Tamworth,Upper Hunter,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8411,West Wallsend High School,2286,West Wallsend ,Tamworth,Lake Macquarie North,Supporting students with mild intellectual disability (IM)
8411,West Wallsend High School,2286,West Wallsend ,Tamworth,Lake Macquarie North,Supporting students with behavioural issues (BD)
8412,The Hills Sports High School,2147,Seven Hills ,Macquarie Park,Bungarribee,Supporting students with mild intellectual disability (IM)
8412,The Hills Sports High School,2147,Seven Hills ,Macquarie Park,Bungarribee,Supporting students with moderate intellectual disability (IO)
8418,Warilla High School,2528,Barrack Heights ,Wagga Wagga,Lake Illawarra South,Supporting students with mental health issues (ED Emotional Disturbance)
8418,Warilla High School,2528,Barrack Heights ,Wagga Wagga,Lake Illawarra South,Supporting students with autism (Au)
8418,Warilla High School,2528,Barrack Heights ,Wagga Wagga,Lake Illawarra South,Supporting students with moderate intellectual disability (IO)
8418,Warilla High School,2528,Barrack Heights ,Wagga Wagga,Lake Illawarra South,Supporting students with mild intellectual disability (IM)
8420,Evans High School,2148,Blacktown,Macquarie Park,Bungarribee,Supporting students with autism (Au)
8432,Engadine High School,2233,Engadine ,Ultimo,Woronora River,Supporting students with mild intellectual disability (IM)
8432,Engadine High School,2233,Engadine ,Ultimo,Woronora River,Supporting students with moderate intellectual disability (IO)
8444,Canobolas Rural Technology High School,2800,Orange ,Wagga Wagga,Orange,Supporting students with moderate intellectual disability (IO)
8444,Canobolas Rural Technology High School,2800,Orange ,Wagga Wagga,Orange,Supporting students with mental health issues (ED Emotional Disturbance)
8444,Canobolas Rural Technology High School,2800,Orange ,Wagga Wagga,Orange,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8444,Canobolas Rural Technology High School,2800,Orange ,Wagga Wagga,Orange,Supporting students with mild intellectual disability (IM)
8444,Canobolas Rural Technology High School,2800,Orange ,Wagga Wagga,Orange,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8446,Springwood High School,2777,Springwood,Macquarie Park,Blue Mountains,Supporting students with mental health issues (ED Emotional Disturbance)
8452,Crookwell High School,2583,Crookwell,Wagga Wagga,Yass,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8456,Fairvale High School,2165,Fairfield West ,Ultimo,Fairfield,Supporting students with behavioural issues (BD)
8456,Fairvale High School,2165,Fairfield West ,Ultimo,Fairfield,Supporting students with mental health issues (ED Emotional Disturbance)
8456,Fairvale High School,2165,Fairfield West ,Ultimo,Fairfield,Supporting students with mild intellectual disability (IM)
8456,Fairvale High School,2165,Fairfield West ,Ultimo,Fairfield,Supporting students with moderate intellectual disability (IO)
8456,Fairvale High School,2165,Fairfield West ,Ultimo,Fairfield,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8459,Chifley College Mount Druitt Campus,2770,Mount Druitt ,Macquarie Park,Mount Druitt,Supporting students with mild intellectual disability (IM)
8459,Chifley College Mount Druitt Campus,2770,Mount Druitt ,Macquarie Park,Mount Druitt,Supporting students with moderate intellectual disability (IO)
8464,Baulkham Hills High School,2153,Baulkham Hills ,Macquarie Park,The Hills,Supporting students with mild intellectual disability (IM)
8464,Baulkham Hills High School,2153,Baulkham Hills ,Macquarie Park,The Hills,Supporting students with autism (Au)
8464,Baulkham Hills High School,2153,Baulkham Hills ,Macquarie Park,The Hills,Supporting students with moderate intellectual disability (IO)
8466,Glendale High School,2285,Glendale ,Tamworth,Lake Macquarie North,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8466,Glendale High School,2285,Glendale ,Tamworth,Lake Macquarie North,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8470,Wade High School,2680,Griffith ,Wagga Wagga,Griffith,Supporting students with autism (Au)
8470,Wade High School,2680,Griffith ,Wagga Wagga,Griffith,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8472,Dungog High School,2420,Dungog,Tamworth,Hunter,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8477,Kellyville High School,2155,Kellyville ,Macquarie Park,The Ponds,Supporting students with mild intellectual disability (IM)
8477,Kellyville High School,2155,Kellyville ,Macquarie Park,The Ponds,Supporting students with autism (Au)
8477,Kellyville High School,2155,Kellyville ,Macquarie Park,The Ponds,Supporting students with moderate intellectual disability (IO)
8491,Willyama High School,2880,Broken Hill ,Wagga Wagga,Far West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8491,Willyama High School,2880,Broken Hill ,Wagga Wagga,Far West,Supporting students with mild intellectual disability (IM)
8493,Airds High School,2560,Campbelltown,Ultimo,Campbelltown,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8493,Airds High School,2560,Campbelltown,Ultimo,Campbelltown,Supporting students with autism (Au)
8493,Airds High School,2560,Campbelltown,Ultimo,Campbelltown,Supporting students with mild intellectual disability (IM)
8493,Airds High School,2560,Campbelltown,Ultimo,Campbelltown,Supporting students with moderate intellectual disability (IO)
8495,Ulladulla High School,2539,Ulladulla ,Wagga Wagga,South Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8495,Ulladulla High School,2539,Ulladulla ,Wagga Wagga,South Coast,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8495,Ulladulla High School,2539,Ulladulla ,Wagga Wagga,South Coast,Supporting students with mental health issues (ED Emotional Disturbance)
8495,Ulladulla High School,2539,Ulladulla ,Wagga Wagga,South Coast,Supporting students with mild intellectual disability (IM)
8496,Chifley College Shalvey Campus,2770,Shalvey ,Macquarie Park,Mount Druitt,Supporting students with autism (Au)
8496,Chifley College Shalvey Campus,2770,Shalvey ,Macquarie Park,Mount Druitt,Supporting students with mild intellectual disability (IM)
8502,Tomaree High School,2317,Salamander Bay ,Tamworth,Port Stephens,Supporting students with behavioural issues (BD)
8502,Tomaree High School,2317,Salamander Bay ,Tamworth,Port Stephens,Supporting students with mental health issues (ED Emotional Disturbance)
8502,Tomaree High School,2317,Salamander Bay ,Tamworth,Port Stephens,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8505,Murray High School,2641,Lavington ,Wagga Wagga,Albury,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8508,Callaghan College Waratah Technology Campus,2298,Waratah ,Tamworth,Callaghan,Supporting students with moderate and students with severe intellectual disability (IO/IS)
